,caption,image_path,subset,split,pathology,roi_text,noisy_text,corrected_text,med_umls_ids,magnification,height,width,not_histology,single_wsi
26,FNA of a left submandibular gland mass.,1eNtgnl8l8E_image_58c1c415-51b8-43a7-9da0-5ed15c21d2b9.jpg,quilt,train,"['Cytopathology', 'Head and Neck', 'Breast']","['left submandibular gland mass', 'metachromatic balls of stromal material', 'left submandibular gland mass', 'metachromatic balls of stromal material']"," Hello, here is an FNA of a left submandibular gland mass and at this magnification we can see that there are a lot of these metachromatic balls of stromal material and in"," Hello, here is an FNA of a left submandibular gland mass and at this magnification we can see that there are a lot of these metachromatic balls of stromal material and in","[[{'entity': 'FNA', 'concept_id': 'C1510483', 'confidence': 1.0}, {'entity': 'left submandibular gland', 'concept_id': 'C0227471', 'confidence': 1.0}, {'entity': 'mass', 'concept_id': 'C0577559', 'confidence': 1.0}], [{'entity': 'Metachromatic balls', 'concept_id': 'C0333937', 'confidence': 0.7775295972824097}, {'entity': 'stromal material', 'concept_id': 'C0520510', 'confidence': 0.7333902716636658}, {'entity': 'magnification', 'concept_id': 'C5197828', 'confidence': 0.9129886031150818}]]",0.0,720.0,1066.0,0,1
27,Metachromatic balls of stromal material seen on magnification.,1eNtgnl8l8E_image_58c1c415-51b8-43a7-9da0-5ed15c21d2b9.jpg,quilt,train,"['Cytopathology', 'Head and Neck', 'Breast']","['left submandibular gland mass', 'metachromatic balls of stromal material', 'left submandibular gland mass', 'metachromatic balls of stromal material']"," Hello, here is an FNA of a left submandibular gland mass and at this magnification we can see that there are a lot of these metachromatic balls of stromal material and in"," Hello, here is an FNA of a left submandibular gland mass and at this magnification we can see that there are a lot of these metachromatic balls of stromal material and in","[[{'entity': 'FNA', 'concept_id': 'C1510483', 'confidence': 1.0}, {'entity': 'left submandibular gland', 'concept_id': 'C0227471', 'confidence': 1.0}, {'entity': 'mass', 'concept_id': 'C0577559', 'confidence': 1.0}], [{'entity': 'Metachromatic balls', 'concept_id': 'C0333937', 'confidence': 0.7775295972824097}, {'entity': 'stromal material', 'concept_id': 'C0520510', 'confidence': 0.7333902716636658}, {'entity': 'magnification', 'concept_id': 'C5197828', 'confidence': 0.9129886031150818}]]",0.0,720.0,1066.0,0,1
28,Exuberant melanocytic proliferation without maturation is observed in the tissue section.,CKoxJjYRP74_image_31fcdb39-f34a-4f90-86d3-4cf0168374aa.jpg,quilt,train,"['Dermatopathology', 'Soft tissue', 'Breast']",['blue cells at the top'], the blue cells at the top so there isn't any maturation so you've got an exuberant melanocytic proliferation that's not showing maturation now we'll look at that a bit more more closely you you can see at the top um junctural junctural activity and there's a little pagetoid cell there and a bit more there and I think if we wander around we'll we'll find other features uh that, the blue cells at the top so there isn't any maturation so you've got an exuberant melanocytic proliferation that's not showing maturation now we'll look at that a bit more more closely you you can see at the top um junctural junctural activity and there's a little pagetoid cell there and a bit more there and I think if we wander around we'll we'll find other features uh that,"[[{'entity': 'Exuberant', 'concept_id': 'C1176237', 'confidence': 0.900911808013916}, {'entity': 'melanocytic proliferation', 'concept_id': 'C3548512', 'confidence': 0.8760049343109131}, {'entity': 'maturation', 'concept_id': 'C0678723', 'confidence': 1.0}, {'entity': 'tissue section', 'concept_id': 'C2316368', 'confidence': 1.0}], [{'entity': 'Junctional activity', 'concept_id': 'C0695584', 'confidence': 0.8103665709495544}, {'entity': 'pagetoid cells', 'concept_id': 'C1518847', 'confidence': 0.865498423576355}]]",0.0,1080.0,1920.0,0,1
29,"The narrator is discussing the characteristics of an irregular area, possibly in a tissue sample. They mention cardiomyocytes or heart muscle cells with elongated parallel cell outlines.",ApsEW2_qArQ_image_d7209af8-4b3e-47c4-863c-c4b803ff299f.jpg,quilt,train,"['Cardiac', 'Hematopathology', 'Soft tissue']","['Area with densely and less densely eosinophilic irregularities, possibly in a tissue sample.', 'Area with densely and less densely eosinophilic irregularities, possibly in a tissue sample.']"," The more densely eosinophilic irregular area or the sort of less densely eosinophilic area? Well let's look at higher power in order to answer that. Let's first look at this area and we can see that a lot of these are made up of cardiomyocytes. How do we know that they are cardiomyocytes or heart muscle cells? Well they do have these elongated parallel cells, cell outlines, it's a bit hard to appreciate striations at this"," The more densely eosinophilic irregular area or the sort of less densely eosinophilic area? Well let's look at higher power in order to answer that. Let's first look at this area and we can see that a lot of these are made up of cardiomyocytes. How do we know that they are cardiomyocytes or heart muscle cells? Well they do have these elongated parallel cells, cell outlines, it's a bit hard to appreciate striations at this","[[{'entity': 'narrator', 'concept_id': 'C1135957', 'confidence': 0.7711340188980103}, {'entity': 'characteristics', 'concept_id': 'C1521970', 'confidence': 1.0}, {'entity': 'irregular area', 'concept_id': 'C0205271', 'confidence': 0.858184278011322}, {'entity': 'tissue', 'concept_id': 'C0040300', 'confidence': 1.0}, {'entity': 'cardiomyocytes', 'concept_id': 'C0225828', 'confidence': 1.0}, {'entity': 'heart muscle cells', 'concept_id': 'C0225828', 'confidence': 1.0}, {'entity': 'elongated', 'concept_id': 'C0205166', 'confidence': 1.0}]]",0.0,372.0,854.0,0,1
30,"Napsin A is a specific marker for ""ovarian clear cell adenocarcinoma""  pathology Gynpath",904123855761002496_2.jpg,openpath,train,,,,,,,,,0,1
31,GPA (Granulomatosis with Polyangiitis) is unlikely as it does not produce granulomas without necrosis.,r4cZq6pC_Kk_image_335a3396-0134-4757-ab39-42bf3717a108.jpg,quilt,train,"['Pulmonary', 'Others', 'Hematopathology']","['color of the necrosis', 'color of the necrosis']"," GPA is off the table. True story. It seems unusual, but GPA does not make granulomas without necrosis. So we hunt around. We need to look and see if we can find a granuloma. And what else about the color of this necrosis? This is pink. And necrosis of"," GPA is off the table. True story. It seems unusual, but GPA does not make granulomas without necrosis. So we hunt around. We need to look and see if we can find a granuloma. And what else about the color of this necrosis? This is pink. And necrosis of","[[{'entity': 'GPA', 'concept_id': 'C0543422', 'confidence': 1.0}, {'entity': 'Granulomatosis', 'concept_id': 'C0521173', 'confidence': 0.9999999403953552}, {'entity': 'Polyangiitis', 'concept_id': 'C0264939', 'confidence': 1.0}, {'entity': 'granulomas', 'concept_id': 'C0018188', 'confidence': 1.0}, {'entity': 'necrosis', 'concept_id': 'C0027540', 'confidence': 1.0}], [{'entity': 'color', 'concept_id': 'C0009393', 'confidence': 1.0}, {'entity': 'necrosis', 'concept_id': 'C0027540', 'confidence': 1.0}, {'entity': 'pink', 'concept_id': 'C0332585', 'confidence': 1.0}]]",0.0,684.0,1280.0,0,1
32,The color of the necrosis is pink.,r4cZq6pC_Kk_image_335a3396-0134-4757-ab39-42bf3717a108.jpg,quilt,train,"['Pulmonary', 'Others', 'Hematopathology']","['color of the necrosis', 'color of the necrosis']"," GPA is off the table. True story. It seems unusual, but GPA does not make granulomas without necrosis. So we hunt around. We need to look and see if we can find a granuloma. And what else about the color of this necrosis? This is pink. And necrosis of"," GPA is off the table. True story. It seems unusual, but GPA does not make granulomas without necrosis. So we hunt around. We need to look and see if we can find a granuloma. And what else about the color of this necrosis? This is pink. And necrosis of","[[{'entity': 'GPA', 'concept_id': 'C0543422', 'confidence': 1.0}, {'entity': 'Granulomatosis', 'concept_id': 'C0521173', 'confidence': 0.9999999403953552}, {'entity': 'Polyangiitis', 'concept_id': 'C0264939', 'confidence': 1.0}, {'entity': 'granulomas', 'concept_id': 'C0018188', 'confidence': 1.0}, {'entity': 'necrosis', 'concept_id': 'C0027540', 'confidence': 1.0}], [{'entity': 'color', 'concept_id': 'C0009393', 'confidence': 1.0}, {'entity': 'necrosis', 'concept_id': 'C0027540', 'confidence': 1.0}, {'entity': 'pink', 'concept_id': 'C0332585', 'confidence': 1.0}]]",0.0,684.0,1280.0,0,1
34,"The narrator discusses odontomas, which some people consider to be a type of hamartoma. Hamartomas are substances or materials that are expected in a certain site but are disorganized. There are two types of odontomas, including compound odontomas.",ohA2WNFEt6k_image_6e7a7983-949c-44dd-b927-ac8aeb28214b.jpg,quilt,train,"['Head and Neck', 'Dermatopathology', 'Head and Neck']","['compound odontoma', 'little tiny toothless']"," And finally, we will finish with something that a lot of people consider to be a hamartoma, and that is the odontoma. Hamartoma means that it is substance or material that we expect in that site, however, it is disorganized. And odontomas come in two different flavors. Here is the first flavor. This is gross examination of a compound odontoma, which are little tiny toothless, and we can actually appreciate"," And finally, we will finish with something that a lot of people consider to be a hamartoma, and that is the odontoma. Hamartoma means that it is substance or material that we expect in that site, however, it is disorganized. And odontomas come in two different flavors. Here is the first flavor. This is gross examination of a compound odontoma, which are little tiny toothless, and we can actually appreciate","[[{'entity': 'narrator', 'concept_id': 'C1135957', 'confidence': 0.7711340188980103}, {'entity': 'odontomas', 'concept_id': 'C0028882', 'confidence': 1.0}, {'entity': 'people', 'concept_id': 'C0027361', 'confidence': 1.0}, {'entity': 'hamartoma', 'concept_id': 'C0018552', 'confidence': 0.9999999403953552}, {'entity': 'Hamartomas', 'concept_id': 'C0018552', 'confidence': 1.0}, {'entity': 'substances', 'concept_id': 'C0439861', 'confidence': 1.0}, {'entity': 'materials', 'concept_id': 'C0520510', 'confidence': 1.0}, {'entity': 'site', 'concept_id': 'C0205145', 'confidence': 1.0}, {'entity': 'disorganized', 'concept_id': 'C1300196', 'confidence': 0.8551687002182007}, {'entity': 'odontomas', 'concept_id': 'C0028882', 'confidence': 1.0}, {'entity': 'compound odontomas', 'concept_id': 'C0205866', 'confidence': 1.0}]]",2.0,720.0,1280.0,0,0
35,"S100 protein stains nerve and melanocytes in the epidermis, including those along the basal layer.",yQQ2Dmz42Vs_image_59c32c5f-1211-4f3f-8edf-4097fd74e56c.jpg,quilt,train,"['Dermatopathology', 'Soft tissue', 'Neuropathology']","['S100 protein stains nerve and melanocytes in the epidermis, including those along the basal layer.']", to so the next thing we're going to look at is S100 protein and the reason I'm showing you S100 protein is that it does it stains nerve and some other things and it stains melanocytes in the epidermis it will stain melanocytes along the basal layer so these little guys, to so the next thing we're going to look at is S100 protein and the reason I'm showing you S100 protein is that it does it stains nerve and some other things and it stains melanocytes in the epidermis it will stain melanocytes along the basal layer so these little guys,"[[{'entity': 'S100 protein stains nerve', 'concept_id': 'C0027758', 'confidence': 0.775057852268219}, {'entity': 'melanocytes', 'concept_id': 'C0025201', 'confidence': 1.0}, {'entity': 'epidermis', 'concept_id': 'C0014520', 'confidence': 1.0}, {'entity': 'basal layer', 'concept_id': 'C0221925', 'confidence': 1.0}]]",1.0,1080.0,1920.0,0,0
36,"Chondroid syringoma(Benign mixed tumor)dermpath A well-circumscribed dermal/subcutaneous nodule Biphasic combination of epithelial(epithelial and myoepithelial) and mesenchymal components Epithelial cells form ducts,cords,or solid sheetsStroma: chondromyxoid, fibrous",1156390338946203648_1.jpg,openpath,train,,,,,,,,,0,1
37,Inhibition of gastric acid secretion.,f2P9yEs0Rmk_image_7bc9de93-8136-4e59-90d5-4de4c5631ca0.jpg,quilt,train,"['Gastrointestinal', 'Pediatric', 'Endocrine']","['M-cells', ""Peyer's patches"", 'lymphatic aggregations', 'intestinal immune system', 'M-cells', ""Peyer's patches"", 'lymphatic aggregations', 'intestinal immune system']"," that inhibits the gastric acid secretion. M-cells, or micro-fold cells, they overlay pyrpases and other large lymphatic aggregations. They endocytize antigens and transport them to the underlying lymphoid cells, where immune responses to foreign antigens can be initiated. M-cells represent an important link in the intestinal immune cells, or the intestinal immune system. The last type"," that inhibits the gastric acid secretion. M-cells, or microfold cells, they overlay pyrpases and other large lymphatic aggregations. They endocytose antigens and transport them to the underlying lymphoid cells, where immune responses to foreign antigens can be initiated. M-cells represent an important link in the intestinal immune cells, or the intestinal immune system. The last type","[[{'entity': 'Inhibition', 'concept_id': 'C0021467', 'confidence': 1.0}, {'entity': 'gastric acid secretion', 'concept_id': 'C0232552', 'confidence': 1.0}], [{'entity': 'M-cells overlay', 'concept_id': 'C0444456', 'confidence': 0.6849072575569153}, {'entity': ""Peyer's patches"", 'concept_id': 'C0031272', 'confidence': 0.9999999403953552}, {'entity': 'lymphatic', 'concept_id': 'C0229889', 'confidence': 1.0}, {'entity': 'endocytose', 'concept_id': 'C0014139', 'confidence': 1.0}, {'entity': 'antigens', 'concept_id': 'C0003320', 'confidence': 1.0}, {'entity': 'transport', 'concept_id': 'C0005528', 'confidence': 1.0}, {'entity': 'lymphoid cells', 'concept_id': 'C0086574', 'confidence': 1.0}, {'entity': 'immune response', 'concept_id': 'C0301872', 'confidence': 1.0}, {'entity': 'initiation', 'concept_id': 'C0589507', 'confidence': 1.0}]]",2.0,550.0,1280.0,0,1
38,"M-cells overlay Peyer's patches and other lymphatic aggregations, endocytose antigens, and transport them to underlying lymphoid cells for immune response initiation.",f2P9yEs0Rmk_image_7bc9de93-8136-4e59-90d5-4de4c5631ca0.jpg,quilt,train,"['Gastrointestinal', 'Pediatric', 'Endocrine']","['M-cells', ""Peyer's patches"", 'lymphatic aggregations', 'intestinal immune system', 'M-cells', ""Peyer's patches"", 'lymphatic aggregations', 'intestinal immune system']"," that inhibits the gastric acid secretion. M-cells, or micro-fold cells, they overlay pyrpases and other large lymphatic aggregations. They endocytize antigens and transport them to the underlying lymphoid cells, where immune responses to foreign antigens can be initiated. M-cells represent an important link in the intestinal immune cells, or the intestinal immune system. The last type"," that inhibits the gastric acid secretion. M-cells, or microfold cells, they overlay pyrpases and other large lymphatic aggregations. They endocytose antigens and transport them to the underlying lymphoid cells, where immune responses to foreign antigens can be initiated. M-cells represent an important link in the intestinal immune cells, or the intestinal immune system. The last type","[[{'entity': 'Inhibition', 'concept_id': 'C0021467', 'confidence': 1.0}, {'entity': 'gastric acid secretion', 'concept_id': 'C0232552', 'confidence': 1.0}], [{'entity': 'M-cells overlay', 'concept_id': 'C0444456', 'confidence': 0.6849072575569153}, {'entity': ""Peyer's patches"", 'concept_id': 'C0031272', 'confidence': 0.9999999403953552}, {'entity': 'lymphatic', 'concept_id': 'C0229889', 'confidence': 1.0}, {'entity': 'endocytose', 'concept_id': 'C0014139', 'confidence': 1.0}, {'entity': 'antigens', 'concept_id': 'C0003320', 'confidence': 1.0}, {'entity': 'transport', 'concept_id': 'C0005528', 'confidence': 1.0}, {'entity': 'lymphoid cells', 'concept_id': 'C0086574', 'confidence': 1.0}, {'entity': 'immune response', 'concept_id': 'C0301872', 'confidence': 1.0}, {'entity': 'initiation', 'concept_id': 'C0589507', 'confidence': 1.0}]]",2.0,550.0,1280.0,0,1
39,"Mucicarmine stain revealed mucin in the lumen and bluish areas, while tall cells did not stain with mucin. This appearance is characteristic of seromucinous neoplasms, which have a slightly different behavior.",-odNO3Jxq28_image_8dc7b2c3-6105-4533-8cac-97dbbb1b1d15.jpg,quilt,train,"['Genitourinary', 'Gynecologic', 'Soft tissue']","['Mucinous epithelial cells mixed with cells that can have cilia.', 'Mucinous epithelial cells mixed with cells that can have cilia.']"," And in fact, we did a mucicarmin stain. And many of these more bluish areas stained with mucin, whereas these other tall cells did not. And there was mucin inside the lumen. So when we see this appearance of a mucinous epithelial cells and mixed with these cells, which in some instances can be found to have cilia, this is the category of seromucinous tumors. It's not a very common ovarian epithelial type. But it's important to recognize because they do have a slightly different behavior. Now, the other feature is that at low magnification, many times these seromucinous"," And in fact, we did a mucicarmine stain. And many of these more bluish areas stained with mucin, whereas these other tall cells did not. And there was mucin inside the lumen. So when we see this appearance of a mucinous epithelial cells and mixed with these cells, which in some instances can be found to have cilia, this is the category of seromucinous tumors. It's not a very common ovarian epithelial type. But it's important to recognize because they do have a slightly different behavior. Now, the other feature is that at low magnification, many times these seromucinous","[[{'entity': 'Mucicarmine stain', 'concept_id': 'C0066912', 'confidence': 1.0}, {'entity': 'mucin', 'concept_id': 'C0026682', 'confidence': 1.0}, {'entity': 'lumen', 'concept_id': 'C0524461', 'confidence': 0.9999998807907104}, {'entity': 'bluish areas', 'concept_id': 'C0392768', 'confidence': 0.7767231464385986}, {'entity': 'tall cells', 'concept_id': 'C0007584', 'confidence': 0.7860536575317383}, {'entity': 'stain', 'concept_id': 'C0038128', 'confidence': 1.0}, {'entity': 'mucin', 'concept_id': 'C0026682', 'confidence': 1.0}, {'entity': 'appearance', 'concept_id': 'C0233426', 'confidence': 1.0}, {'entity': 'seromucinous neoplasms', 'concept_id': 'C0206767', 'confidence': 0.7541454434394836}, {'entity': 'different', 'concept_id': 'C1705242', 'confidence': 1.0}, {'entity': 'behavior', 'concept_id': 'C0004927', 'confidence': 1.0}]]",2.0,976.0,1920.0,0,0
40,"Description of pear-shaped structures with 2 nuclei seen as clusters, possibly referring to a specific organism or pathology.",O6zYBLVN6oI_image_7689c20f-d873-443c-a50c-f4ee81f7bc93.jpg,quilt,train,"['Gastrointestinal', 'Cytopathology', 'Pediatric']","['pear-shaped structures', '2 nuclei', 'clusters', 'pear-shaped structures', '2 nuclei', 'clusters']", And how you are going to differentiate them because these organisms they will be having a pear shaped structure and most important is that they will be seen like you could see here. So these are the pear shaped structures and they have got 2 nuclei and they will be seen as clusters. So most, And how you are going to differentiate them because these organisms they will be having a pear shaped structure and most important is that they will be seen like you could see here. So these are the pear shaped structures and they have got 2 nuclei and they will be seen as clusters. So most,"[[{'entity': 'Description', 'concept_id': 'C0678257', 'confidence': 1.0}, {'entity': 'pear-shaped structures', 'concept_id': 'C0678594', 'confidence': 0.5292234420776367}, {'entity': 'nuclei', 'concept_id': 'C0007610', 'confidence': 0.8452459573745728}, {'entity': 'clusters', 'concept_id': 'C0017258', 'confidence': 0.8765193223953247}, {'entity': 'organism', 'concept_id': 'C0029235', 'confidence': 1.0}, {'entity': 'pathology', 'concept_id': 'C0030664', 'confidence': 1.0}]]",2.0,720.0,986.0,0,1
41,"Fibrinogen and collagen 1 in a kidney glomerular matrix. (a) Representative images of FFPE sections stained for fibrinogen. (b) Fibrinogen-positive area in % of total glomerular tuft area in wild-type control (WT) versus FSGS mice 8 weeks post miR-193a induction. (c) Representative images of FFPE sections stained for collagen 1. (d) Collagen 1-positive area in % of total glomerular tuft area in wild-type control (WT) versus FSGS mice 8 weeks post miR-193a induction. For PAS and AFOG stainings of the respective sections, see Figure 1. Scale bar = 50 µm; data represent means ± SD, n ≥ 4 samples/group, and each data point represents the mean of min. 10 glomeruli/sample; unpaired two-tailed Student’s t-test *: p < 0.05; ***: p < 0.001.",afc6ba52-ece6-465c-b6e0-0a02f6485d15_1.jpg,pubmed,train,,,,,,,,,0,1
42,"Schwannomas can exhibit dramatic pleomorphism without mitotic activity, which is a feature that suggests benignity.",2fBl-VQDYWU_image_97e38b3e-13a0-4f8c-897c-b91dc604b46d.jpg,quilt,train,"['Soft tissue', 'Hematopathology', 'Dermatopathology']","['Schwannomas', 'Schwannomas', 'Spindle cell lesions', 'Cytologic features']"," paper Ivan and I wrote in cancer cytopathology. I think this is now going back 2006, seven. And we sort of described the psychologic appearance of schwannomas. Of course, a hundred people have done that before us. We were definitely not the first, but the comment we made was that, you know, when you see this dramatic pleomorphism without mitotic activity, exactly what you were saying, that's a feature that always makes me think benign. Yes. I do remember that paper, Vikram, and I like it a lot and I still bring it up when I'm sort of looking at FNAs or spindle cell lesions, which frankly we don't get that many of right now. But I have to say my recollection of how that project started, and correct me if I'm wrong, was you wanted to look at many different spindle cell lesions and their cytologic features and see how to tell various of"," paper Ivan and I wrote in cancer cytopathology journal. I think this is now going back 2006, seven. And we sort of described the psychologic appearance of schwannomas. Of course, a hundred people have done that before us. We were definitely not the first, but the comment we made was that, you know, when you see this dramatic pleomorphism without mitotic activity, exactly what you were saying, that's a feature that always makes me think benign. Yes. I do remember that paper, Vikram, and I like it a lot and I still bring it up when I'm sort of looking at FNAs or spindle cell lesions, which frankly we don't get that many of right now. But I have to say my recollection of how that project started, and correct me if I'm wrong, was you wanted to look at many different spindle cell lesions and their cytologic features and see how to tell various of","[[{'entity': 'authors', 'concept_id': 'C3812881', 'confidence': 1.0}, {'entity': 'Cancer Cytopathology Journal', 'concept_id': 'C0243139', 'confidence': 0.7069410681724548}, {'entity': 'histologic', 'concept_id': 'C0205462', 'confidence': 1.0}, {'entity': 'appearance', 'concept_id': 'C0233426', 'confidence': 1.0}, {'entity': 'schwannomas', 'concept_id': 'C0027809', 'confidence': 0.9999999403953552}], [{'entity': 'Schwannomas', 'concept_id': 'C0027809', 'confidence': 0.9999999403953552}, {'entity': 'pleomorphism', 'concept_id': 'C0032219', 'confidence': 1.0}, {'entity': 'mitotic activity', 'concept_id': 'C1334779', 'confidence': 1.0}, {'entity': 'benignity', 'concept_id': 'C0205183', 'confidence': 0.6397450566291809}]]",1.0,1080.0,1920.0,0,0
43,The presence of large myxoid-chondroidy nodules and sweat ducts embedded in myxoid stroma suggests a mixed tumor or chondroid syringoma.,RQxqoZjQseM_image_b41b7f2b-d56d-48c1-a56a-32477278b094.jpg,quilt,train,"['Soft tissue', 'Dermatopathology', 'Breast']","['large myxoid-chondroidy nodules', 'sweat ducts', 'myxoid stroma', 'cartilage', 'large myxoid-chondroidy nodules', 'sweat ducts', 'myxoid stroma', 'cartilage']"," Okay, number 10. Okay, so we have these large myxoidy-chondroidy nodules and in between them there are what looks like probably sweat ducts with some sweat in the middle embedded into this kind of myxoid stroma. So this one is good for a mixed tumor or chondroid serengoma. Yes, perfectly done. It would be easy on one like this to think of it being a cartilage tumor because the cartilage is so abundant, but the key to recognizing is not just that there's cartilage here, but there's"," Okay, number 10. Okay, so we have these large myxoid-chondroidy nodules and in between them there are what looks like probably sweat ducts with some sweat in the middle embedded into this kind of myxoid stroma. So this one is good for a mixed tumor or chondroid syringoma. Yes, perfectly done. It would be easy on one like this to think of it being a cartilage tumor because the cartilage is so abundant, but the key to recognizing is not just that there's cartilage here, but there's","[[{'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'myxoid-chondroidy', 'concept_id': 'C0205295', 'confidence': 0.6242630481719971}, {'entity': 'sweat ducts', 'concept_id': 'C0038984', 'confidence': 0.7767395377159119}, {'entity': 'myxoid', 'concept_id': 'C0205295', 'confidence': 1.0}, {'entity': 'stroma', 'concept_id': 'C0927195', 'confidence': 1.0}, {'entity': 'tumor', 'concept_id': 'C0027651', 'confidence': 0.9999999403953552}, {'entity': 'chondroid syringoma', 'concept_id': 'C0026277', 'confidence': 1.0}], [{'entity': 'abundance', 'concept_id': 'C2346714', 'confidence': 1.0}, {'entity': 'cartilage', 'concept_id': 'C0007301', 'confidence': 1.0}, {'entity': 'sample', 'concept_id': 'C0370003', 'confidence': 1.0}, {'entity': 'confusion', 'concept_id': 'C0009676', 'confidence': 0.9999999403953552}, {'entity': 'cartilage tumor', 'concept_id': 'C0476147', 'confidence': 0.9738892316818237}, {'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'sweat ducts', 'concept_id': 'C0038984', 'confidence': 0.7767395377159119}, {'entity': 'diagnosis', 'concept_id': 'C0011900', 'confidence': 0.9999998807907104}]]",0.0,1080.0,1920.0,0,0
44,"The abundance of cartilage in the sample may lead to confusion with a cartilage tumor, but the presence of sweat ducts is key to recognizing the correct diagnosis.",RQxqoZjQseM_image_b41b7f2b-d56d-48c1-a56a-32477278b094.jpg,quilt,train,"['Soft tissue', 'Dermatopathology', 'Breast']","['large myxoid-chondroidy nodules', 'sweat ducts', 'myxoid stroma', 'cartilage', 'large myxoid-chondroidy nodules', 'sweat ducts', 'myxoid stroma', 'cartilage']"," Okay, number 10. Okay, so we have these large myxoidy-chondroidy nodules and in between them there are what looks like probably sweat ducts with some sweat in the middle embedded into this kind of myxoid stroma. So this one is good for a mixed tumor or chondroid serengoma. Yes, perfectly done. It would be easy on one like this to think of it being a cartilage tumor because the cartilage is so abundant, but the key to recognizing is not just that there's cartilage here, but there's"," Okay, number 10. Okay, so we have these large myxoid-chondroidy nodules and in between them there are what looks like probably sweat ducts with some sweat in the middle embedded into this kind of myxoid stroma. So this one is good for a mixed tumor or chondroid syringoma. Yes, perfectly done. It would be easy on one like this to think of it being a cartilage tumor because the cartilage is so abundant, but the key to recognizing is not just that there's cartilage here, but there's","[[{'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'myxoid-chondroidy', 'concept_id': 'C0205295', 'confidence': 0.6242630481719971}, {'entity': 'sweat ducts', 'concept_id': 'C0038984', 'confidence': 0.7767395377159119}, {'entity': 'myxoid', 'concept_id': 'C0205295', 'confidence': 1.0}, {'entity': 'stroma', 'concept_id': 'C0927195', 'confidence': 1.0}, {'entity': 'tumor', 'concept_id': 'C0027651', 'confidence': 0.9999999403953552}, {'entity': 'chondroid syringoma', 'concept_id': 'C0026277', 'confidence': 1.0}], [{'entity': 'abundance', 'concept_id': 'C2346714', 'confidence': 1.0}, {'entity': 'cartilage', 'concept_id': 'C0007301', 'confidence': 1.0}, {'entity': 'sample', 'concept_id': 'C0370003', 'confidence': 1.0}, {'entity': 'confusion', 'concept_id': 'C0009676', 'confidence': 0.9999999403953552}, {'entity': 'cartilage tumor', 'concept_id': 'C0476147', 'confidence': 0.9738892316818237}, {'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'sweat ducts', 'concept_id': 'C0038984', 'confidence': 0.7767395377159119}, {'entity': 'diagnosis', 'concept_id': 'C0011900', 'confidence': 0.9999998807907104}]]",0.0,1080.0,1920.0,0,0
45,"H&E stain with ×10 magnification, showing proliferation of bland myofibroblastic cells and arborizing capillaries in a loose myxoid stroma and plexiform pattern area.",9ffb968b-17d3-40c4-9541-1f94b9dabfcb.jpg,pubmed,train,,,,,,,,,0,1
46,The narrator is attempting to identify a granuloma based on the presence of epithelioid cells and multinucleated giant cells.,yISz4T1sp_8_image_5a3ecb36-1833-4f40-a13a-0846ec6af936.jpg,quilt,train,"['Pulmonary', 'Hematopathology', 'Head and Neck']","['Epithelioid cells', 'Multinucleated giant cell', 'Epithelioid cells', 'Multinucleated giant cell']"," On the other hand, let's give this one more shot, get rid of that digital artifact, and see if we could call this a granuloma. Yeah, I think we could. I think we'd call this a granuloma here. They're epithelioid cells. They're fairly well-defined. And in addition, you could see some giant cells, like here's one, a multinucleated giant cell. Maybe here, maybe here, but here's a classical one"," On the other hand, let's give this one more shot, get rid of that digital artifact, and see if we could call this a granuloma. Yeah, I think we could. I think we'd call this a granuloma here. They're epithelioid cells. They're fairly well-defined. And in addition, you could see some giant cells, like here's one, a multinucleated giant cell. Maybe here, maybe here, but here's a classical one","[[{'entity': 'narrator', 'concept_id': 'C1135957', 'confidence': 0.7711340188980103}, {'entity': 'granuloma', 'concept_id': 'C0018188', 'confidence': 1.0}, {'entity': 'presence', 'concept_id': 'C0150312', 'confidence': 1.0}, {'entity': 'epithelioid cells', 'concept_id': 'C0014603', 'confidence': 0.9999999403953552}, {'entity': 'multinucleated giant cells', 'concept_id': 'C0017526', 'confidence': 0.9999999403953552}]]",1.0,720.0,766.0,0,1
47,Pleural_effusion in a patient with rheumatoid_arthritis. Elongated histiocytes with tapered cytoplasmic processes. They may have more than one nucleus. Multinucleated giant cells. The corresponding biopsy show the elongated histiocytes surrounding a necrotic center. CytoPath,1168609857399939077_2.jpg,openpath,train,,,,,,,,,0,1
48,Renal bx in the setting of multicentric castleman/TAFRO syndrome. Glomerular limited chronic active microangiopathy. GBM double contours/remodeling and endotheliosis.  renalpath,1300197576700866560_2.png,openpath,train,,,,,,,,,0,1
